depth,height,id,line_id,package,pn,type_id,vendor_id,volume,weight,width,long_desc,prices,cad_files,item_groups
,,KP_TUU3642,line5084,1,KP_TUU3642,,vendor01,,,,"Standard Panel Universal Lay in Channel and Base 36"" Height 42"" Width","[{'zone_id': 'zone1', 'price': '190.00'}]","[{'view_id': 'view42', 'file': 'KP_TUU3642_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TUU3642_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TUU3648,line5084,1,KP_TUU3648,,vendor01,,,,"Standard Panel Universal Lay in Channel and Base 36"" Height 48"" Width","[{'zone_id': 'zone1', 'price': '204.00'}]","[{'view_id': 'view42', 'file': 'KP_TUU3648_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TUU3648_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TUU3654,line5084,1,KP_TUU3654,,vendor01,,,,"Standard Panel Universal Lay in Channel and Base 36"" Height 54"" Width","[{'zone_id': 'zone1', 'price': '217.00'}]","[{'view_id': 'view42', 'file': 'KP_TUU3654_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TUU3654_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TUU3660,line5084,1,KP_TUU3660,,vendor01,,,,"Standard Panel Universal Lay in Channel and Base 36"" Height 60"" Width","[{'zone_id': 'zone1', 'price': '234.00'}]","[{'view_id': 'view42', 'file': 'KP_TUU3660_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TUU3660_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TUU4224,line5084,1,KP_TUU4224,,vendor01,,,,"Standard Panel Universal Lay in Channel and Base 42"" Height 24"" Width","[{'zone_id': 'zone1', 'price': '248.00'}]","[{'view_id': 'view42', 'file': 'KP_TUU4224_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TUU4224_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TUU4230,line5084,1,KP_TUU4230,,vendor01,,,,"Standard Panel Universal Lay in Channel and Base 42"" Height 30"" Width","[{'zone_id': 'zone1', 'price': '183.00'}]","[{'view_id': 'view42', 'file': 'KP_TUU4230_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TUU4230_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TUU4236,line5084,1,KP_TUU4236,,vendor01,,,,"Standard Panel Universal Lay in Channel and Base 42"" Height 36"" Width","[{'zone_id': 'zone1', 'price': '197.00'}]","[{'view_id': 'view42', 'file': 'KP_TUU4236_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TUU4236_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TUU4242,line5084,1,KP_TUU4242,,vendor01,,,,"Standard Panel Universal Lay in Channel and Base 42"" Height 42"" Width","[{'zone_id': 'zone1', 'price': '209.00'}]","[{'view_id': 'view42', 'file': 'KP_TUU4242_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TUU4242_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TUU4248,line5084,1,KP_TUU4248,,vendor01,,,,"Standard Panel Universal Lay in Channel and Base 42"" Height 48"" Width","[{'zone_id': 'zone1', 'price': '222.00'}]","[{'view_id': 'view42', 'file': 'KP_TUU4248_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TUU4248_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
,,KP_TUU4254,line5084,1,KP_TUU4254,,vendor01,,,,"Standard Panel Universal Lay in Channel and Base 42"" Height 54"" Width","[{'zone_id': 'zone1', 'price': '235.00'}]","[{'view_id': 'view42', 'file': 'KP_TUU4254_2D.dwg'}, {'view_id': 'view43', 'file': 'KP_TUU4254_3D.dwg'}]","[{'group_id': 'grp1065'}, {'group_id': 'grp1066'}, {'group_id': 'grp1067'}]"
